"IRMAReferenceNumber","SciName"
"2216525","Agalinis maritima"
"2216525","Morella cerifera"
"2216525","Borrichia frutescens"
"2216525","Uniola paniculata"
"2216525","Spartina patens"
"2216525","Hydrocotyle bonariensis"
"2216525","Spartina alterniflora"
"2216525","Quercus virginiana"
"2216525","Pinus elliottii"
"2216525","Phragmites australis"
"2216525","Wisteria sinensis"
"2216525","Pueraria lobata"
"2216525","Amaranthus pumilus"
"2216525","Juniperus silicicola"
"2216525","Conyza bonariensis"
"2216525","Nandina domestica"
"2216525","Plantago major"
"2216525","Sambucus canadensis"
"2216525","Wahlenbergia marginata"
"2216525","Baccharis angustifolia"
"2216525","Baccharis halimifolia"
"2216525","Callicarpa americana"
"2216525","Diospyros virginiana"
"2216525","Ilex opaca"
"2216525","Ilex vomitoria"
"2216525","Iva frutescens"
"2216525","Kosteletzkya virginica"
"2216525","Persea borbonia"
"2216525","Pinus taeda"
"2216525","Prunus caroliniana"
"2216525","Quercus laurifolia"
"2216525","Quercus nigra"
"2216525","Rosa palustris"
"2216525","Osmanthus americanus"
"2216525","Vaccinium corymbosum"
"2216525","Diodia teres"
"2216525","Melica mutica"
"2216525","Phyla nodiflora"
"2216525","Rubus trivialis"
"2216525","Carpinus caroliniana"
"2216525","Juniperus virginiana"
"2216525","Persea palustris"
"2216525","Prunus serotina"
"2216525","Acalypha gracilens"
"2216525","Acer rubrum"
"2216525","Achillea millefolium"
"2216525","Acorus americanus"
"2216525","Agalinis purpurea"
"2216525","Agrostis stolonifera"
"2216525","Ailanthus altissima"
"2216525","Allium canadense"
"2216525","Allium vineale"
"2216525","Amaranthus cannabinus"
"2216525","Amaranthus hybridus"
"2216525","Ambrosia artemisiifolia"
"2216525","Amelanchier canadensis"
"2216525","Amelanchier obovalis"
"2216525","Ammannia coccinea"
"2216525","Ammannia latifolia"
"2216525","Ammophila breviligulata"
"2216525","Ampelaster carolinianus"
"2216525","Ampelopsis arborea"
"2216525","Andropogon glomeratus"
"2216525","Andropogon scoparius"
"2216525","Andropogon virginicus"
"2216525","Anychiastrum baldwinii"
"2216525","Apios americana"
"2216525","Apocynum cannabinum"
"2216525","Aralia spinosa"
"2216525","Arenaria lanuginosa"
"2216525","Arenaria serpyllifolia"
"2216525","Arthraxon hispidus"
"2216525","Asclepias lanceolata"
"2216525","Asimina parviflora"
"2216525","Asplenium platyneuron"
"2216525","Asplenium X ebenoides"
"2216525","Aster subulatus"
"2216525","Atriplex cristata"
"2216525","Atriplex patula"
"2216525","Aureolaria flava"
"2216525","Aureolaria laevigata"
"2216525","Axonopus fissifolius"
"2216525","Bacopa monnieri"
"2216525","Berchemia scandens"
"2216525","Bidens bipinnata"
"2216525","Bidens laevis"
"2216525","Boehmeria cylindrica"
"2216525","Bolboschoenus robustus"
"2216525","Briza minor"
"2216525","Bromus japonicus"
"2216525","Bromus rigidus"
"2216525","Buchnera americana"
"2216525","Bulbostylis capillaris"
"2216525","Bulbostylis ciliatifolia"
"2216525","Bulbostylis stenophylla"
"2216525","Cakile edentula"
"2216525","Cakile harperi"
"2216525","Calystegia sepium"
"2216525","Campsis radicans"
"2216525","Canna X generalis"
"2216525","Cardamine hirsuta"
"2216525","Carex alata"
"2216525","Carex albolutescens"
"2216525","Carex nigromarginata"
"2216525","Carya glabra"
"2216525","Cassia chamaecrista"
"2216525","Cassia nictitans"
"2216525","Catalpa bignonioides"
"2216525","Celtis occidentalis"
"2216525","Cenchrus longispinus"
"2216525","Cenchrus spinifex"
"2216525","Cenchrus tribuloides"
"2216525","Centella asiatica"
"2216525","Centella erecta"
"2216525","Centrosema virginianum"
"2216525","Cerastium glomeratum"
"2216525","Ceratophyllum demersum"
"2216525","Chamaecrista nictitans"
"2216525","Chamaesyce maculata"
"2216525","Chamaesyce nutans"
"2216525","Chamaesyce polygonifolia"
"2216525","Chasmanthium laxum"
"2216525","Chenopodium ambrosioides"
"2216525","Chenopodium botrys"
"2216525","Chenopodium glaucum"
"2216525","Chenopodium opulifolium"
"2216525","Chrysopsis graminifolia"
"2216525","Cicuta curtissii"
"2216525","Cicuta maculata"
"2216525","Cirsium horridulum"
"2216525","Cirsium spinosissimum"
"2216525","Cladium mariscus"
"2216525","Clematis catesbyana"
"2216525","Clematis ligusticifolia"
"2216525","Clitoria mariana"
"2216525","Cnidoscolus stimulosus"
"2216525","Commelina angustifolia"
"2216525","Commelina erecta"
"2216525","Conyza canadensis"
"2216525","Corallorrhiza wisteriana"
"2216525","Coreopsis gladiata"
"2216525","Coreopsis lanceolata"
"2216525","Cornus florida"
"2216525","Cornus foemina"
"2216525","Crotalaria rotundifolia"
"2216525","Croton glandulosus"
"2216525","Croton punctatus"
"2216525","Cucurbita pepo"
"2216525","Cuphea carthagenensis"
"2216525","Cuscuta arvensis"
"2216525","Cuscuta gronovii"
