"IRMAReferenceNumber","SciName"
"566874","Ammodramus savannarum"
"566874","Passer domesticus"
"566874","Chondestes grammacus"
"566874","Lanius ludovicianus"
"566874","Colinus virginianus"
"566874","Coccyzus americanus"
"566874","Spizella arborea"
"566874","Euphagus cyanocephalus"
"566874","Certhia americana"
"566874","Bombycilla cedrorum"
"566874","Catharus guttatus"
"566874","Haemorhous purpureus"
"566874","Passerculus sandwichensis"
"566874","Accipiter striatus"
"566874","Melospiza melodia"
"566874","Sphyrapicus varius"
"566874","Setophaga coronata"
"566874","Dolichonyx oryzivorus"
"566874","Dendroica pensylvanica"
"566874","Ammodramus henslowii"
"566874","Catharus ustulatus"
"566874","Catharus fuscescens"
"566874","Porzana carolina"
"566874","Thryomanes bewickii"
"566874","Vermivora pinus"
"566874","Oporornis formosus"
"566874","Melanerpes erythrocephalus"
"566874","Hylocichla mustelina"
"566874","Helmitheros vermivorus"
"566874","Polioptila caerulea"
"566874","Passerina cyanea"
"566874","Cardinalis cardinalis"
"566874","Baeolophus bicolor"
"566874","Empidonax virescens"
"566874","Corvus brachyrhynchos"
"566874","Carduelis tristis"
"566874","Falco sparverius"
"566874","Setophaga ruticilla"
"566874","Turdus migratorius"
"566874","Scolopax minor"
"566874","Icterus galbula"
"566874","Hirundo rustica"
"566874","Strix varia"
"566874","Coccyzus erythropthalmus"
"566874","Coragyps atratus"
"566874","Passerina caerulea"
"566874","Cyanocitta cristata"
"566874","Buteo platypterus"
"566874","Molothrus ater"
"566874","Toxostoma rufum"
"566874","Parus carolinensis"
"566874","Thryothorus ludovicianus"
"566874","Chaetura pelagica"
"566874","Petrochelidon pyrrhonota"
"566874","Quiscalus quiscula"
"566874","Geothlypis trichas"
"566874","Spiza americana"
"566874","Picoides pubescens"
"566874","Sialia sialis"
"566874","Tyrannus tyrannus"
"566874","Sturnella magna"
"566874","Sayornis phoebe"
"566874","Pipilo erythrophthalmus"
"566874","Contopus virens"
"566874","Sturnus vulgaris"
"566874","Spizella pusilla"
"566874","Corvus ossifragus"
"566874","Dumetella carolinensis"
"566874","Ardea herodias"
"566874","Myiarchus crinitus"
"566874","Bubo virginianus"
"566874","Picoides villosus"
"566874","Eremophila alpestris"
"566874","Charadrius vociferus"
"566874","Seiurus motacilla"
"566874","Zenaida macroura"
"566874","Colaptes auratus"
"566874","Parula americana"
"566874","Icterus spurius"
"566874","Dryocopus pileatus"
"566874","Melanerpes carolinus"
"566874","Vireo olivaceus"
"566874","Buteo lineatus"
"566874","Buteo jamaicensis"
"566874","Agelaius phoeniceus"
"566874","Archilochus colubris"
"566874","Piranga olivacea"
"566874","Tyrannus forficatus"
"566874","Piranga rubra"
"566874","Tachycineta bicolor"
"566874","Cathartes aura"
"566874","Vireo gilvus"
"566874","Sitta carolinensis"
"566874","Vireo griseus"
"566874","Meleagris gallopavo"
"566874","Empidonax traillii"
"566874","Icteria virens"
"566874","Dendroica coronata"
"566874","Vireo flavifrons"
"566874","Dendroica dominica"
"566874","Dendroica petechia"
