"IRMAReferenceNumber","SciName"
"2229759","Regulus calendula"
"2229759","Dendroctonus frontalis"
"2229759","Cardinalis cardinalis"
"2229759","Thryothorus ludovicianus"
"2229759","Baeolophus bicolor"
"2229759","Cyanocitta cristata"
"2229759","Sitta carolinensis"
"2229759","Poecile carolinensis"
"2229759","Dendroica pinus"
"2229759","Melanerpes carolinus"
"2229759","Corvus brachyrhynchos"
"2229759","Pipilo erythrophthalmus"
"2229759","Vireo olivaceus"
"2229759","Piranga rubra"
"2229759","Polioptila caerulea"
"2229759","Picoides pubescens"
"2229759","Turdus migratorius"
"2229759","Chaetura pelagica"
"2229759","Carduelis tristis"
"2229759","Myiarchus crinitus"
"2229759","Zenaida macroura"
"2229759","Piranga olivacea"
"2229759","Hylocichla mustelina"
"2229759","Branta canadensis"
"2229759","Colaptes auratus"
"2229759","Sitta pusilla"
"2229759","Picoides villosus"
"2229759","Oporornis formosus"
"2229759","Melanerpes erythrocephalus"
"2229759","Buteo lineatus"
"2229759","Wilsonia citrina"
"2229759","Carpodacus mexicanus"
"2229759","Passerina cyanea"
"2229759","Dryocopus pileatus"
"2229759","Guiraca caerulea"
"2229759","Molothrus ater"
"2229759","Sialia sialis"
"2229759","Progne subis"
"2229759","Vireo griseus"
"2229759","Empidonax virescens"
"2229759","Toxostoma rufum"
"2229759","Quiscalus quiscula"
"2229759","Sayornis phoebe"
"2229759","Seiurus motacilla"
"2229759","Accipiter striatus"
"2229759","Meleagris gallopavo"
"2229759","Vireo flavifrons"
"2229759","Hirundo rustica"
"2229759","Bombycilla cedrorum"
"2229759","Spizella passerina"
"2229759","Geothlypis trichas"
"2229759","Accipiter cooperii"
"2229759","Spizella pusilla"
"2229759","Corvus ossifragus"
"2229759","Dumetella carolinensis"
"2229759","Butorides virescens"
"2229759","Mimus polyglottos"
"2229759","Dendroica discolor"
"2229759","Buteo jamaicensis"
"2229759","Melospiza melodia"
"2229759","Zonotrichia albicollis"
"2229759","Coccyzus americanus"
"2229759","Icteria virens"
"2229759","Buteo platypterus"
"2229759","Circus cyaneus"
"2229759","Northern Harrier"
"2229759","Haliaeetus leucocephalus"
"2229759","Ictinia mississippiensis"
"2229759","Cathartes aura"
"2229759","Coragyps atratus"
"2229759","Pandion haliaetus"
"2229759","Aix sponsa"
"2229759","Anas acuta"
"2229759","Anas americana"
"2229759","Anas discors"
"2229759","Anas platyrhynchos"
"2229759","Anas rubripes"
"2229759","Anas strepera"
"2229759","Lophodytes cucullatus"
"2229759","Mergus merganser"
"2229759","Archilochus colubris"
