"IRMAReferenceNumber","SciName"
"2229361","Hypoxis hirsuta"
"2229361","Arisaema dracontium"
"2229361","Bignonia capreolata"
"2229361","Toxicodendron radicans"
"2229361","Taxodium distichum"
"2229361","Liquidambar styraciflua"
"2229361","Asimina triloba"
"2229361","Ilex decidua"
"2229361","Fraxinus pennsylvanica"
"2229361","Nyssa aquatica"
"2229361","Packera glabella"
"2229361","Pinus taeda"
"2229361","Celtis laevigata"
"2229361","Quercus laurifolia"
"2229361","Sus scrofa"
"2229361","Ilex ambigua"
"2229361","Parietaria floridana"
"2229361","Acer negundo"
"2229361","Acer rubrum"
"2229361","Callicarpa americana"
"2229361","Carpinus caroliniana"
"2229361","Cephalanthus occidentalis"
"2229361","Cornus foemina"
"2229361","Crataegus marshallii"
"2229361","Cyrilla racemiflora"
"2229361","Decumaria barbara"
"2229361","Diospyros virginiana"
"2229361","Hibiscus moscheutos"
"2229361","Ilex opaca"
"2229361","Itea virginica"
"2229361","Leucothoe axillaris"
"2229361","Ligustrum sinense"
"2229361","Lindera benzoin"
"2229361","Persea borbonia"
"2229361","Planera aquatica"
"2229361","Populus heterophylla"
"2229361","Quercus lyrata"
"2229361","Quercus michauxii"
"2229361","Quercus nigra"
"2229361","Quercus phellos"
"2229361","Salix nigra"
"2229361","Solanum pseudocapsicum"
"2229361","Taxodium ascendens"
"2229361","Ulmus alata"
"2229361","Ulmus rubra"
"2229361","Vaccinium corymbosum"
"2229361","Ambrosia artemisiifolia"
"2229361","Ampelopsis arborea"
"2229361","Apocynum cannabinum"
"2229361","Arisaema triphyllum"
"2229361","Arundinaria gigantea"
"2229361","Asplenium platyneuron"
"2229361","Berchemia scandens"
"2229361","Boehmeria cylindrica"
"2229361","Campsis radicans"
"2229361","Chasmanthium latifolium"
"2229361","Chasmanthium sessiliflorum"
"2229361","Cocculus carolinus"
"2229361","Dichondra carolinensis"
"2229361","Dioscorea villosa"
"2229361","Erechtites hieraciifolia"
"2229361","Euonymus americanus"
"2229361","Gelsemium sempervirens"
"2229361","Hydrocotyle umbellata"
"2229361","Justicia ovata"
"2229361","Lonicera japonica"
"2229361","Lygodium japonicum"
"2229361","Microstegium vimineum"
"2229361","Mitchella repens"
"2229361","Oxalis stricta"
"2229361","Parthenocissus quinquefolia"
"2229361","Rubus cuneifolius"
"2229361","Rubus trivialis"
"2229361","Ruellia caroliniensis"
"2229361","Sambucus canadensis"
"2229361","Sanicula canadensis"
"2229361","Saururus cernuus"
"2229361","Smilax bona-nox"
"2229361","Smilax laurifolia"
"2229361","Smilax rotundifolia"
"2229361","Stellaria media"
"2229361","Vitis aestivalis"
"2229361","Vitis rotundifolia"
"2229361","Woodwardia areolata"
"2229361","Carya alba"
"2229361","Carya aquatica"
"2229361","Nyssa sylvatica"
"2229361","Ostrya virginiana"
"2229361","Persea palustris"
"2229361","Platanus occidentalis"
"2229361","Quercus alba"
"2229361","Quercus pagoda"
"2229361","Quercus velutina"
"2229361","Alisma subcordatum"
"2229361","Sagittaria latifolia"
"2229361","Lemna valdiviana"
"2229361","Orontium aquaticum"
"2229361","Peltandra virginica"
"2229361","Chaerophyllum procumbens"
"2229361","Chaerophyllum tainturieri"
"2229361","Cryptotaenia canadensis"
"2229361","Cyclospermum leptophyllum"
"2229361","Eryngium prostratum"
"2229361","Foeniculum vulgare"
"2229361","Ptilimnium capillaceum"
"2229361","Sanicula marilandica"
"2229361","Sanicula odorata"
"2229361","Sanicula smallii"
"2229361","Aralia spinosa"
"2229361","Hedera helix"
"2229361","Hydrocotyle ranunculoides"
"2229361","Hydrocotyle sibthorpioides"
"2229361","Hydrocotyle verticillata"
"2229361","Ilex amelanchier"
"2229361","Ilex aquifolium"
"2229361","Ilex glabra"
"2229361","Ilex laevigata"
"2229361","Ilex verticillata"
"2229361","Ilex vomitoria"
"2229361","Sabal minor"
"2229361","Allium vineale"
"2229361","Nothoscordum bivalve"
"2229361","Nothoscordum gracile"
"2229361","Zephyranthes atamasca"
"2229361","Liriope muscari"
"2229361","Maianthemum racemosum"
"2229361","Manfreda virginica"
"2229361","Polygonatum biflorum"
"2229361","Yucca filamentosa"
"2229361","Iris virginica"
