"IRMAReferenceNumber","SciName"
"2229075","Polioptila caerulea"
"2229075","Ulmus americana"
"2229075","Halesia carolina"
"2229075","Cardinalis cardinalis"
"2229075","Vireo olivaceus"
"2229075","Baeolophus bicolor"
"2229075","Parula americana"
"2229075","Corvus brachyrhynchos"
"2229075","Poecile carolinensis"
"2229075","Thryothorus ludovicianus"
"2229075","Cyanocitta cristata"
"2229075","Wilsonia citrina"
"2229075","Melanerpes carolinus"
"2229075","Piranga rubra"
"2229075","Empidonax virescens"
"2229075","Myiarchus crinitus"
"2229075","Dendroica pinus"
"2229075","Vireo flavifrons"
"2229075","Picoides pubescens"
"2229075","Molothrus ater"
"2229075","Hylocichla mustelina"
"2229075","Dryocopus pileatus"
"2229075","Piranga olivacea"
"2229075","Coccyzus americanus"
"2229075","Buteo lineatus"
"2229075","Seiurus motacilla"
"2229075","Oporornis formosus"
"2229075","Vireo griseus"
"2229075","Zenaida macroura"
"2229075","Geothlypis trichas"
"2229075","Passerina cyanea"
"2229075","Colaptes auratus"
"2229075","Progne subis"
"2229075","Icteria virens"
"2229075","Dendroica dominica"
"2229075","Sitta pusilla"
"2229075","Carduelis tristis"
"2229075","Pipilo erythrophthalmus"
"2229075","Contopus virens"
"2229075","Picoides villosus"
"2229075","Melanerpes erythrocephalus"
"2229075","Corvus ossifragus"
"2229075","Archilochus colubris"
"2229075","Sitta carolinensis"
"2229075","Meleagris gallopavo"
"2229075","Haliaeetus leucocephalus"
"2229075","Guiraca caerulea"
"2229075","Toxostoma rufum"
"2229075","Branta canadensis"
"2229075","Spizella passerina"
"2229075","Petrochelidon pyrrhonota"
"2229075","Sialia sialis"
"2229075","Sayornis phoebe"
"2229075","Ardea herodias"
"2229075","Icterus spurius"
"2229075","Dendroica discolor"
"2229075","Buteo jamaicensis"
"2229075","Accipiter cooperii"
"2229075","Buteo platypterus"
"2229075","Circus cyaneus"
"2229075","Northern Harrier"
"2229075","Cathartes aura"
"2229075","Coragyps atratus"
"2229075","Aix sponsa"
"2229075","Chaetura pelagica"
"2229075","Caprimulgus carolinensis"
"2229075","Larus delawarensis"
"2229075","Actitis macularia"
"2229075","Megaceryle alcyon"
"2229075","Falco sparverius"
"2229075","Colinus virginianus"
"2229075","Gavia immer"
"2229075","Bombycilla cedrorum"
"2229075","Pheucticus ludovicianus"
"2229075","Junco hyemalis"
"2229075","Melospiza melodia"
"2229075","Passerella iliaca"
"2229075","Spizella pusilla"
"2229075","Zonotrichia albicollis"
"2229075","Carduelis pinus"
"2229075","Carpodacus mexicanus"
"2229075","Carpodacus purpureus"
"2229075","Coccothraustes vespertinus"
"2229075","Hirundo rustica"
"2229075","Stelgidopteryx serripennis"
"2229075","Agelaius phoeniceus"
"2229075","Euphagus carolinus"
"2229075","Quiscalus quiscula"
"2229075","Sturnella magna"
"2229075","Dumetella carolinensis"
"2229075","Mimus polyglottos"
"2229075","Anthus rubescens"
"2229075","Dendroica coronata"
"2229075","Dendroica fusca"
"2229075","Dendroica magnolia"
"2229075","Dendroica palmarum"
"2229075","Dendroica pensylvanica"
"2229075","Dendroica virens"
"2229075","Helmitheros vermivorus"
"2229075","Limnothlypis swainsonii"
"2229075","Mniotilta varia"
"2229075","Protonotaria citrea"
"2229075","Seiurus aurocapillus"
"2229075","Seiurus noveboracensis"
"2229075","Setophaga ruticilla"
"2229075","Vermivora celata"
"2229075","Vermivora ruficapilla"
"2229075","Regulus calendula"
"2229075","Regulus satrapa"
"2229075","Sturnus vulgaris"
"2229075","Troglodytes aedon"
"2229075","Troglodytes troglodytes"
"2229075","Catharus fuscescens"
"2229075","Catharus guttatus"
"2229075","Turdus migratorius"
"2229075","Empidonax minimus"
"2229075","Tyrannus tyrannus"
"2229075","Vireo solitarius"
"2229075","Ardea alba"
"2229075","Butorides virescens"
"2229075","Egretta caerulea"
"2229075","Sphyrapicus varius"
"2229075","Bubo virginianus"
"2229075","Megascops asio"
"2229075","Strix varia"
