"IRMAReferenceNumber","SciName"
"596231","Ulmus rubra"
"596231","Juniperus virginiana"
"596231","Acer rubrum"
"596231","Acer saccharinum"
"596231","Amelanchier arborea"
"596231","Diospyros virginiana"
"596231","Frangula caroliniana"
"596231","Ilex decidua"
"596231","Nyssa sylvatica"
"596231","Ostrya virginiana"
"596231","Pinus echinata"
"596231","Robinia pseudoacacia"
"596231","Sassafras albidum"
"596231","Ulmus pumila"
"596231","Lactuca serriola"
"596231","Acalypha monococca"
"596231","Amphicarpaea bracteata"
"596231","Andropogon virginicus"
"596231","Antennaria plantaginifolia"
"596231","Aralia spinosa"
"596231","Aristolochia serpentaria"
"596231","Asplenium platyneuron"
"596231","Callicarpa americana"
"596231","Camassia scilloides"
"596231","Cocculus carolinus"
"596231","Conyza canadensis"
"596231","Cunila origanoides"
"596231","Danthonia spicata"
"596231","Diarrhena americana"
"596231","Dichanthelium boscii"
"596231","Dioscorea villosa"
"596231","Erechtites hieraciifolia"
"596231","Euphorbia corollata"
"596231","Galium arkansanum"
"596231","Galium circaezans"
"596231","Helianthus divaricatus"
"596231","Heuchera americana"
"596231","Hieracium gronovii"
"596231","Ilex opaca"
"596231","Iris cristata"
"596231","Lathyrus venosus"
"596231","Lespedeza procumbens"
"596231","Lespedeza repens"
"596231","Lespedeza violacea"
"596231","Menispermum canadense"
"596231","Monarda russeliana"
"596231","Nandina domestica"
"596231","Parthenocissus quinquefolia"
"596231","Physalis virginiana"
"596231","Piptochaetium avenaceum"
"596231","Pleopeltis polypodioides"
"596231","Prunus serotina"
"596231","Pteridium aquilinum"
"596231","Rhus aromatica"
"596231","Ribes missouriense"
"596231","Rosa carolina"
"596231","Ruellia pedunculata"
"596231","Scutellaria ovata"
"596231","Sideroxylon lanuginosum"
"596231","Smilax bona-nox"
"596231","Smilax tamnoides"
"596231","Symphoricarpos orbiculatus"
"596231","Symphyotrichum patens"
"596231","Toxicodendron radicans"
"596231","Tradescantia hirsuticaulis"
"596231","Ulmus alata"
"596231","Viburnum prunifolium"
"596231","Vitis aestivalis"
"596231","Vitis rotundifolia"
