"IRMAReferenceNumber","SciName"
"2198152","Pseudacris feriarum"
"2198152","Anaxyrus americanus"
"2198152","Anaxyrus fowleri"
"2198152","Hyla chrysoscelis"
"2198152","Hyla cinerea"
"2198152","Pseudacris crucifer"
"2198152","Gastrophryne carolinensis"
"2198152","Lithobates clamitans"
"2198152","Lithobates palustris"
"2198152","Lithobates sphenocephalus"
"2198152","Ambystoma maculatum"
"2198152","Ambystoma opacum"
"2198152","Desmognathus conanti"
"2198152","Desmognathus monticola"
"2198152","Eurycea cirrigera"
"2198152","Eurycea guttolineata"
"2198152","Pseudotriton ruber"
"2198152","Notophthalmus viridescens"
"2198152","Scincella lateralis"
"2198152","Carphophis amoenus"
"2198152","Liriodendron tulipifera"
"2198152","Pinus taeda"
"2198152","Betula nigra"
"2198152","Quercus nigra"
"2198152","Acer rubrum"
"2198152","Fraxinus pennsylvanica"
"2198152","Celtis laevigata"
"2198152","Acris crepitans"
"2198152","Lithobates catesbeianus"
"2198152","Scaphiopus holbrookii"
"2198152","Desmognathus fuscus"
"2198152","Gyrinophilus porphyriticus"
"2198152","Plethodon glutinosus"
"2198152","Plethodon serratus"
"2198152","Eumeces inexpectatus"
"2198152","Storeria occipitomaculata"
"2198152","Coluber constrictor"
"2198152","Eumeces laticeps"
"2198152","Sceloporus undulatus"
"2198152","Kinosternon subrubrum"
"2198152","Ophisaurus attenuatus"
"2198152","Ophisaurus ventralis"
"2198152","Cemophora coccinea"
"2198152","Diadophis punctatus"
"2198152","Elaphe guttata"
"2198152","Elaphe obsoleta"
"2198152","Heterodon platirhinos"
"2198152","Lampropeltis calligaster"
"2198152","Lampropeltis getula"
"2198152","Lampropeltis triangulum"
"2198152","Nerodia erythrogaster"
"2198152","Nerodia sipedon"
"2198152","Opheodrys aestivus"
"2198152","Regina septemvittata"
"2198152","Storeria dekayi"
"2198152","Tantilla coronata"
"2198152","Thamnophis sauritus"
"2198152","Thamnophis sirtalis"
"2198152","Virginia valeriae"
"2198152","Anolis carolinensis"
"2198152","Eumeces fasciatus"
"2198152","Aspidoscelis sexlineatus"
"2198152","Agkistrodon contortrix"
"2198152","Chelydra serpentina"
"2198152","Chrysemys picta"
"2198152","Pseudemys concinna"
"2198152","Terrapene carolina"
"2198152","Trachemys scripta"
"2198152","Sternotherus minor"
"2198152","Sternotherus odoratus"
"2198152","Apalone spinifera"
