"IRMAReferenceNumber","SciName"
"581703","Junco hyemalis"
"581703","Dendroica coronata"
"581703","Sitta canadensis"
"581703","Regulus satrapa"
"581703","Poecile gambeli"
"581703","Catharus guttatus"
"581703","Certhia americana"
"581703","Spinus pinus"
"581703","Carpodacus cassinii"
"581703","Perisoreus canadensis"
"581703","Turdus migratorius"
"581703","Picoides arcticus"
"581703","Picoides villosus"
"581703","Piranga ludoviciana"
"581703","Spizella passerina"
"581703","Sialia currucoides"
"581703","Sphyrapicus ruber"
"581703","Troglodytes troglodytes"
"581703","Picoides dorsalis"
"581703","Nucifraga columbiana"
"581703","Cyanocitta stelleri"
"581703","Empidonax oberholseri"
"581703","Myadestes townsendi"
"581703","Setophaga occidentalis"
"581703","Selasphorus rufus"
"581703","Loxia curvirostra"
"581703","Coccothraustes vespertinus"
"581703","Leucosticte tephrocotis"
"581703","Passerina amoena"
"581703","Melospiza lincolnii"
"581703","Empidonax difficilis"
"581703","Empidonax hammondii"
"581703","Oreothlypis ruficapilla"
"581703","Dryocopus pileatus"
"581703","Ixoreus naevius"
"581703","Picoides albolarvatus"
"581703","Poecile rufescens"
"581703","Corvus corax"
"581703","Passerella iliaca"
"581703","Troglodytes aedon"
"581703","Geothlypis tolmiei"
"581703","Colaptes auratus"
"581703","Contopus cooperi"
"581703","Oreothlypis celata"
"581703","Troglodytes pacificus"
"581703","Vireo cassinii"
"581703","Eremophila alpestris"
"581703","Carpodacus mexicanus"
"581703","Spinus psaltria"
"581703","Spinus tristis"
"581703","Falco sparverius"
"581703","Poecile atricapillus"
"581703","Pheucticus melanocephalus"
"581703","Selasphorus calliope"
"581703","Chordeiles minor"
"581703","Phalaenoptilus nuttallii"
"581703","Accipiter gentilis"
"581703","Glaucidium gnoma"
"581703","Salpinctes obsoletus"
"581703","Accipiter striatus"
"581703","Dendragapus fuliginosus"
"581703","Cathartes aura"
"581703","Tachycineta thalassina"
"581703","Contopus sordidulus"
"581703","Oreortyx pictus"
"581703","Psaltriparus minimus"
"581703","Pipilo chlorurus"
"581703","Vermivora celata"
"581703","Vireo gilvus"
"581703","Zonotrichia leucophrys"
"581703","Setophaga nigrescens"
"581703","Carpodacus purpureus"
"581703","Cinclus mexicanus"
"581703","Patagioenas fasciata"
"581703","Strix nebulosa"
"581703","Leuconotopicus villosus"
"581703","Anas platyrhynchos"
"581703","Haemorhous purpureus"
"581703","Regulus calendula"
"581703","Cardellina pusilla"
"581703","Picoides pubescens"
"581703","Zonotrichia atricapilla"
"581703","Zenaida macroura"
"581703","Catharus ustulatus"
"581703","Setophaga petechia"
