"IRMAReferenceNumber","SciName"
"593274","Pinus albicaulis"
"593274","Cronartium ribicola"
"593274","Dendroctonus ponderosae"
"593274","Nucifraga columbiana"
"593274","Abies magnifica"
"593274","Tsuga mertensiana"
"593274","Juniperus occidentalis"
"593274","Pinus balfouriana"
