"IRMAReferenceNumber","SciName"
"2239466","Physostegia purpurea"
"2239466","Clematis crispa"
"2239466","Pinus taeda"
"2239466","Lyonia lucida"
"2239466","Liquidambar styraciflua"
"2239466","Smilax rotundifolia"
"2239466","Gelsemium sempervirens"
"2239466","Carex glaucescens"
"2239466","Polygala lutea"
"2239466","Taxodium distichum"
"2239466","Solidago verna"
"2239466","Macbridea caroliniana"
"2239466","Parnassia caroliniana"
"2239466","Ligustrum sinense"
"2239466","Wisteria sinensis"
"2239466","Pueraria lobata"
"2239466","Pinus palustris"
"2239466","Taxodium ascendens"
"2239466","Morella cerifera"
"2239466","Acer rubrum"
"2239466","Ilex opaca"
"2239466","Quercus nigra"
"2239466","Wahlenbergia marginata"
"2239466","Melothria pendula"
"2239466","Befaria racemosa"
"2239466","Quercus phellos"
"2239466","Asimina triloba"
"2239466","Pinus elliottii"
"2239466","Andropogon virginicus"
"2239466","Amorpha herbacea"
"2239466","Carpinus caroliniana"
"2239466","Catalpa speciosa"
"2239466","Cephalanthus occidentalis"
"2239466","Clethra alnifolia"
"2239466","Cornus florida"
"2239466","Cyrilla racemiflora"
"2239466","Diospyros virginiana"
"2239466","Fraxinus pennsylvanica"
"2239466","Gaylussacia frondosa"
"2239466","Hypericum hypericoides"
"2239466","Ilex ambigua"
"2239466","Ilex coriacea"
"2239466","Ilex glabra"
"2239466","Itea virginica"
"2239466","Magnolia grandiflora"
"2239466","Magnolia virginiana"
"2239466","Nyssa biflora"
"2239466","Nyssa sylvatica"
"2239466","Persea borbonia"
"2239466","Photinia pyrifolia"
"2239466","Prunus serotina"
"2239466","Quercus laurifolia"
"2239466","Quercus lyrata"
"2239466","Quercus stellata"
"2239466","Rhus copallinum"
"2239466","Sassafras albidum"
"2239466","Symplocos tinctoria"
"2239466","Vaccinium arboreum"
"2239466","Vaccinium corymbosum"
"2239466","Vaccinium elliottii"
"2239466","Vaccinium pallidum"
"2239466","Acalypha gracilens"
"2239466","Ambrosia artemisiifolia"
"2239466","Aristida stricta"
"2239466","Aronia arbutifolia"
"2239466","Arundinaria gigantea"
"2239466","Asplenium platyneuron"
"2239466","Bignonia capreolata"
"2239466","Campsis radicans"
"2239466","Carya alba"
"2239466","Chamaesyce maculata"
"2239466","Conyza canadensis"
"2239466","Diodia teres"
"2239466","Elephantopus nudatus"
"2239466","Elephantopus tomentosus"
"2239466","Erechtites hieraciifolia"
"2239466","Eremochloa ophiuroides"
"2239466","Eupatorium capillifolium"
"2239466","Hexastylis arifolia"
"2239466","Lespedeza cuneata"
"2239466","Lonicera japonica"
"2239466","Malaxis unifolia"
"2239466","Medicago lupulina"
"2239466","Mitchella repens"
"2239466","Onoclea sensibilis"
"2239466","Osmunda regalis"
"2239466","Oxalis stricta"
"2239466","Parthenocissus quinquefolia"
"2239466","Paspalum notatum"
"2239466","Polypremum procumbens"
"2239466","Pteridium aquilinum"
"2239466","Rhexia mariana"
"2239466","Richardia brasiliensis"
"2239466","Rubus argutus"
"2239466","Rubus cuneifolius"
"2239466","Salvia lyrata"
"2239466","Scleria triglomerata"
"2239466","Sisyrinchium atlanticum"
"2239466","Smilax bona-nox"
"2239466","Smilax glauca"
"2239466","Smilax laurifolia"
"2239466","Stylisma humistrata"
"2239466","Toxicodendron pubescens"
"2239466","Toxicodendron radicans"
"2239466","Vaccinium tenellum"
"2239466","Vicia angustifolia"
"2239466","Vitis rotundifolia"
"2239466","Woodwardia areolata"
"2239466","Woodwardia virginica"
"2239466","Ilex myrtifolia"
"2239466","Quercus alba"
