"IRMAReferenceNumber","SciName"
"2229771","Geothlypis trichas"
"2229771","Fraxinus pennsylvanica"
"2229771","Panicum hemitomon"
"2229771","Mycteria americana"
"2229771","Odocoileus virginianus"
"2229771","Castor canadensis"
"2229771","Lynx rufus"
"2229771","Micropterus salmoides"
"2229771","Canis"
"2229771","Canis latrans"
"2229771","Ligustrum sinense"
"2229771","Lonicera japonica"
"2229771","Pueraria montana"
"2229771","Solenopsis invicta"
"2229771","Thryothorus ludovicianus"
"2229771","Cardinalis cardinalis"
"2229771","Baeolophus bicolor"
"2229771","Corvus brachyrhynchos"
"2229771","Carduelis tristis"
"2229771","Poecile carolinensis"
"2229771","Myiarchus crinitus"
"2229771","Melanerpes carolinus"
"2229771","Cyanocitta cristata"
"2229771","Polioptila caerulea"
"2229771","Picoides pubescens"
"2229771","Pipilo erythrophthalmus"
"2229771","Quiscalus quiscula"
"2229771","Turdus migratorius"
"2229771","Colaptes auratus"
"2229771","Vireo olivaceus"
"2229771","Vireo griseus"
"2229771","Sayornis phoebe"
"2229771","Zonotrichia albicollis"
"2229771","Molothrus ater"
"2229771","Buteo lineatus"
"2229771","Piranga rubra"
"2229771","Contopus virens"
"2229771","Sitta pusilla"
"2229771","Junco hyemalis"
"2229771","Passerina cyanea"
"2229771","Sitta carolinensis"
"2229771","Toxostoma rufum"
"2229771","Spizella passerina"
"2229771","Melanerpes erythrocephalus"
"2229771","Agelaius phoeniceus"
"2229771","Piranga olivacea"
"2229771","Ceryle alcyon"
"2229771","Chaetura pelagica"
"2229771","Carpodacus mexicanus"
"2229771","Mimus polyglottos"
"2229771","Dendroica caerulescens"
"2229771","Branta canadensis"
"2229771","Sialia sialis"
"2229771","Ardea herodias"
"2229771","Protonotaria citrea"
"2229771","Catharus fuscescens"
"2229771","Dendroica dominica"
"2229771","Empidonax virescens"
"2229771","Fulica americana"
"2229771","Dendroica cerulea"
"2229771","Spizella pusilla"
"2229771","Corvus ossifragus"
"2229771","Passer domesticus"
"2229771","Oporornis formosus"
"2229771","Dendroica magnolia"
"2229771","Zenaida macroura"
"2229771","Parula americana"
"2229771","Seiurus aurocapillus"
"2229771","Dendroica pinus"
"2229771","Melospiza melodia"
"2229771","Dendroica petechia"
"2229771","Dendroica coronata"
"2229771","Accipiter cooperii"
"2229771","Accipiter striatus"
"2229771","Buteo jamaicensis"
"2229771","Buteo platypterus"
"2229771","Circus cyaneus"
"2229771","Northern Harrier"
"2229771","Ictinia mississippiensis"
"2229771","Cathartes aura"
"2229771","Coragyps atratus"
"2229771","Pandion haliaetus"
"2229771","Aix sponsa"
"2229771","Anas americana"
"2229771","Anas clypeata"
"2229771","Anas crecca"
"2229771","Anas discors"
"2229771","Anas platyrhynchos"
"2229771","Anas strepera"
"2229771","Aythya collaris"
"2229771","Archilochus colubris"
"2229771","Caprimulgus carolinensis"
"2229771","Chordeiles minor"
"2229771","Charadrius vociferus"
"2229771","Charadrius wilsonia"
"2229771","Larus delawarensis"
"2229771","Actitis macularia"
"2229771","Calidris minutilla"
"2229771","Calidris pusilla"
"2229771","Gallinago gallinago"
"2229771","Tringa flavipes"
"2229771","Tringa melanoleuca"
"2229771","Tringa solitaria"
"2229771","Columbina passerina"
"2229771","Megaceryle alcyon"
"2229771","Coccyzus americanus"
"2229771","Falco columbarius"
"2229771","Falco sparverius"
"2229771","Colinus virginianus"
"2229771","Meleagris gallopavo"
"2229771","Grus canadensis"
"2229771","Bombycilla cedrorum"
"2229771","Guiraca caerulea"
"2229771","Passerina caerulea"
"2229771","Pheucticus ludovicianus"
"2229771","Certhia americana"
"2229771","Melospiza georgiana"
"2229771","Passerculus sandwichensis"
"2229771","Passerella iliaca"
"2229771","Zonotrichia leucophrys"
"2229771","Carduelis pinus"
"2229771","Carpodacus purpureus"
"2229771","Coccothraustes vespertinus"
"2229771","Hirundo rustica"
"2229771","Progne subis"
"2229771","Riparia riparia"
"2229771","Stelgidopteryx serripennis"
"2229771","Tachycineta bicolor"
"2229771","Euphagus carolinus"
"2229771","Icterus galbula"
"2229771","Icterus spurius"
"2229771","Sturnella magna"
"2229771","Lanius ludovicianus"
"2229771","Dumetella carolinensis"
"2229771","Dendroica castanea"
"2229771","Dendroica discolor"
"2229771","Dendroica fusca"
"2229771","Dendroica palmarum"
"2229771","Dendroica pensylvanica"
"2229771","Dendroica striata"
"2229771","Dendroica tigrina"
"2229771","Dendroica virens"
"2229771","Helmitheros vermivorus"
"2229771","Icteria virens"
"2229771","Limnothlypis swainsonii"
"2229771","Mniotilta varia"
"2229771","Seiurus motacilla"
"2229771","Seiurus noveboracensis"
"2229771","Setophaga ruticilla"
"2229771","Vermivora celata"
"2229771","Vermivora chrysoptera"
"2229771","Vermivora peregrina"
"2229771","Vermivora pinus"
