"IRMAReferenceNumber","SciName"
"566381","Polygonum cuspidatum"
"566381","Pueraria montana"
"566381","Iris pseudacorus"
"566381","Ailanthus altissima"
"566381","Lepidium latifolium"
"566381","Arundo donax"
"566381","Rhamnus cathartica"
"566381","Heracleum mantegazzianum"
"566381","Centaurea solstitialis"
"566381","Hieracium aurantiacum"
"566381","Isatis tinctoria"
"566381","Taeniatherum caput-medusae"
"566381","Chondrilla juncea"
"566381","Gypsophila paniculata"
"566381","Centaurea virgata"
"566381","Linaria dalmatica"
"566381","Euphorbia myrsinites"
"566381","Dipsacus fullonum"
"566381","Salvia aethiopis"
"566381","Ventenata dubia"
"566381","Elaeagnus angustifolia"
"566381","Euphorbia esula"
"566381","Falcaria vulgaris"
"566381","Poa bulbosa"
"566381","Potentilla recta"
"566381","Rhaponticum repens"
"566381","Sideritis montana"
"566381","Tanacetum vulgare"
"566381","Thymelaea passerina"
"566381","Toxicodendron rydbergii"
"566381","Musineon divaricatum"
"566381","Asclepias pumila"
"566381","Diaperia prolifera"
"566381","Achillea millefolium"
"566381","Ambrosia artemisiifolia"
"566381","Antennaria parvifolia"
"566381","Artemisia cana"
"566381","Artemisia ludoviciana"
"566381","Brickellia eupatorioides"
"566381","Cirsium arvense"
"566381","Cirsium undulatum"
"566381","Conyza canadensis"
"566381","Conyza ramosissima"
"566381","Dyssodia papposa"
"566381","Erigeron bellidiastrum"
"566381","Ericameria nauseosa"
"566381","Erigeron strigosus"
"566381","Grindelia squarrosa"
"566381","Gutierrezia sarothrae"
"566381","Helianthus annuus"
"566381","Helianthus petiolaris"
"566381","Lactuca serriola"
"566381","Liatris punctata"
"566381","Logfia arvensis"
"566381","Mulgedium oblongifolium"
"566381","Ratibida columnifera"
"566381","Solidago missouriensis"
"566381","Symphyotrichum ericoides"
"566381","Symphyotrichum oblongifolium"
"566381","Taraxacum officinale"
"566381","Tragopogon dubius"
"566381","Xanthisma spinulosum"
"566381","Solidago rigida"
"566381","Cryptantha celosioides"
"566381","Hackelia floribunda"
"566381","Lappula occidentalis"
"566381","Lappula squarrosa"
"566381","Alyssum desertorum"
"566381","Arabis hirsuta"
"566381","Capsella bursa-pastoris"
"566381","Camelina microcarpa"
"566381","Descurainia pinnata"
"566381","Descurainia sophia"
"566381","Draba reptans"
"566381","Erysimum repandum"
"566381","Lepidium densiflorum"
"566381","Physaria ludoviciana"
"566381","Sisymbrium altissimum"
"566381","Thlaspi arvense"
"566381","Escobaria missouriensis"
"566381","Opuntia fragilis"
"566381","Opuntia macrorhiza"
"566381","Opuntia polyacantha"
"566381","Triodanis leptocarpa"
"566381","Triodanis perfoliata"
"566381","Symphoricarpos occidentalis"
"566381","Cerastium arvense"
"566381","Silene antirrhina"
"566381","Atriplex argentea"
"566381","Atriplex canescens"
"566381","Atriplex suckleyi"
"566381","Halogeton glomeratus"
"566381","Kochia scoparia"
"566381","Monolepis nuttalliana"
"566381","Salsola tragus"
"566381","Tradescantia bracteata"
"566381","Convolvulus arvensis"
"566381","Juniperus scopulorum"
"566381","Carex brevior"
"566381","Carex duriuscula"
"566381","Carex filifolia"
"566381","Carex praegracilis"
"566381","Euphorbia marginata"
"566381","Euphorbia serpens"
"566381","Euphorbia spathulata"
"566381","Astragalus agrestis"
"566381","Astragalus lotiflorus"
"566381","Astragalus missouriensis"
"566381","Astragalus racemosus"
"566381","Dalea purpurea"
"566381","Lathyrus polymorphus"
"566381","Medicago lupulina"
"566381","Melilotus officinalis"
"566381","Pediomelum argophyllum"
"566381","Psoralidium tenuiflorum"
"566381","Vicia americana"
"566381","Hedeoma hispida"
"566381","Salvia reflexa"
"566381","Allium textile"
"566381","Maianthemum stellatum"
"566381","Linum rigidum"
"566381","Sphaeralcea coccinea"
"566381","Toxicoscordion venenosum"
"566381","Oenothera cespitosa"
"566381","Oenothera suffrutescens"
"566381","Oxalis stricta"
"566381","Plantago patagonica"
"566381","Piptatherum micranthum"
"566381","Achnatherum hymenoides"
"566381","Aristida purpurea"
"566381","Bouteloua curtipendula"
"566381","Bouteloua dactyloides"
"566381","Bouteloua gracilis"
"566381","Bromus inermis"
"566381","Bromus japonicus"
"566381","Bromus tectorum"
"566381","Calamovilfa longifolia"
"566381","Distichlis spicata"
"566381","Elymus canadensis"
"566381","Elymus elymoides"
"566381","Elymus repens"
"566381","Elymus trachycaulus"
"566381","Hesperostipa comata"
"566381","Hordeum jubatum"
"566381","Hordeum pusillum"
"566381","Koeleria macrantha"
"566381","Muhlenbergia cuspidata"
"566381","Muhlenbergia paniculata"
"566381","Muhlenbergia racemosa"
"566381","Munroa squarrosa"
"566381","Nassella viridula"
"566381","Panicum capillare"
"566381","Pascopyrum smithii"
"566381","Panicum virgatum"
"566381","Poa pratensis"
"566381","Poa secunda"
"566381","Schizachyrium scoparium"
"566381","Sporobolus cryptandrus"
"566381","Vulpia octoflora"
"566381","Collomia linearis"
"566381","Phlox andicola"
"566381","Phlox hoodii"
"566381","Polygala alba"
"566381","Polygala verticillata"
"566381","Eriogonum pauciflorum"
"566381","Polygonum aviculare"
"566381","Rumex crispus"
"566381","Androsace occidentalis"
"566381","Delphinium carolinianum"
"566381","Prunus virginiana"
"566381","Rosa arkansana"
"566381","Galium aparine"
"566381","Comandra umbellata"
"566381","Penstemon eriantherus"
"566381","Verbascum thapsus"
"566381","Physalis longifolia"
"566381","Parietaria pensylvanica"
"566381","Verbena bracteata"
"566381","Viola nuttallii"
