"IRMAReferenceNumber","SciName"
"595030","Populus deltoides"
"595030","Heracleum mantegazzianum"
"595030","Centaurea solstitialis"
"595030","Centaurea virgata"
"595030","Chondrilla juncea"
"595030","Hieracium aurantiacum"
"595030","Alliaria petiolata"
"595030","Isatis tinctoria"
"595030","Lepidium latifolium"
"595030","Gypsophila paniculata"
"595030","Dipsacus fullonum"
"595030","Euphorbia myrsinites"
"595030","Pueraria montana"
"595030","Iris pseudacorus"
"595030","Salvia aethiopis"
"595030","Arundo donax"
"595030","Taeniatherum caput-medusae"
"595030","Ventenata dubia"
"595030","Polygonum cuspidatum"
"595030","Rhamnus cathartica"
"595030","Linaria dalmatica"
"595030","Ailanthus altissima"
"595030","Draba reptans"
"595030","Packera plattensis"
"595030","Bromus tectorum"
"595030","Bromus inermis"
"595030","Acer negundo"
"595030","Toxicodendron rydbergii"
"595030","Musineon tenuifolium"
"595030","Asclepias viridiflora"
"595030","Ambrosia psilostachya"
"595030","Ambrosia tomentosa"
"595030","Artemisia biennis"
"595030","Artemisia campestris"
"595030","Artemisia frigida"
"595030","Artemisia ludoviciana"
"595030","Cirsium arvense"
"595030","Cirsium flodmanii"
"595030","Conyza canadensis"
"595030","Euthamia occidentalis"
"595030","Grindelia squarrosa"
"595030","Helianthus annuus"
"595030","Lactuca serriola"
"595030","Onopordum acanthium"
"595030","Symphyotrichum ericoides"
"595030","Taraxacum officinale"
"595030","Tragopogon dubius"
"595030","Xanthium strumarium"
"595030","Cynoglossum officinale"
"595030","Lappula occidentalis"
"595030","Alyssum desertorum"
"595030","Camelina microcarpa"
"595030","Descurainia pinnata"
"595030","Lepidium densiflorum"
"595030","Sisymbrium altissimum"
"595030","Thlaspi arvense"
"595030","Opuntia macrorhiza"
"595030","Symphoricarpos occidentalis"
"595030","Kochia scoparia"
"595030","Salsola tragus"
"595030","Convolvulus arvensis"
"595030","Carex douglasii"
"595030","Carex duriuscula"
"595030","Carex filifolia"
"595030","Carex hystericina"
"595030","Carex praegracilis"
"595030","Shepherdia argentea"
"595030","Equisetum laevigatum"
"595030","Euphorbia glyptosperma"
"595030","Glycyrrhiza lepidota"
"595030","Medicago lupulina"
"595030","Melilotus officinalis"
"595030","Lemna turionifera"
"595030","Sphaeralcea coccinea"
"595030","Fraxinus pennsylvanica"
"595030","Plantago major"
"595030","Plantago patagonica"
"595030","Bouteloua gracilis"
"595030","Bromus japonicus"
"595030","Calamovilfa longifolia"
"595030","Elymus repens"
"595030","Elymus trachycaulus"
"595030","Hesperostipa comata"
"595030","Hordeum pusillum"
"595030","Nassella viridula"
"595030","Panicum virgatum"
"595030","Pascopyrum smithii"
"595030","Poa pratensis"
"595030","Spartina pectinata"
"595030","Sporobolus cryptandrus"
"595030","Potentilla supina"
"595030","Galium triflorum"
"595030","Populus angustifolia"
"595030","Salix amygdaloides"
"595030","Salix exigua"
"595030","Salix fragilis"
"595030","Physalis longifolia"
"595030","Typha angustifolia"
"595030","Phyla cuneifolia"
"595030","Verbena bracteata"
"595030","Verbena hastata"
