"IRMAReferenceNumber","SciName"
"576756","Physostegia purpurea"
"576756","Clematis crispa"
"576756","Pinus taeda"
"576756","Lyonia lucida"
"576756","Liquidambar styraciflua"
"576756","Smilax rotundifolia"
"576756","Gelsemium sempervirens"
"576756","Carex glaucescens"
"576756","Polygala lutea"
"576756","Taxodium distichum"
"576756","Solidago verna"
"576756","Macbridea caroliniana"
"576756","Parnassia caroliniana"
"576756","Ligustrum sinense"
"576756","Wisteria sinensis"
"576756","Pueraria lobata"
"576756","Pinus palustris"
"576756","Taxodium ascendens"
"576756","Morella cerifera"
"576756","Acer rubrum"
"576756","Ilex opaca"
"576756","Quercus nigra"
"576756","Wahlenbergia marginata"
"576756","Melothria pendula"
"576756","Befaria racemosa"
"576756","Quercus phellos"
"576756","Asimina triloba"
"576756","Pinus elliottii"
"576756","Andropogon virginicus"
"576756","Amorpha herbacea"
"576756","Carpinus caroliniana"
"576756","Catalpa speciosa"
"576756","Cephalanthus occidentalis"
"576756","Clethra alnifolia"
"576756","Cornus florida"
"576756","Cyrilla racemiflora"
"576756","Diospyros virginiana"
"576756","Fraxinus pennsylvanica"
"576756","Gaylussacia frondosa"
"576756","Hypericum hypericoides"
"576756","Ilex ambigua"
"576756","Ilex coriacea"
"576756","Ilex glabra"
"576756","Itea virginica"
"576756","Magnolia grandiflora"
"576756","Magnolia virginiana"
"576756","Nyssa biflora"
"576756","Nyssa sylvatica"
"576756","Persea borbonia"
"576756","Photinia pyrifolia"
"576756","Prunus serotina"
"576756","Quercus laurifolia"
"576756","Quercus lyrata"
"576756","Quercus stellata"
"576756","Rhus copallinum"
"576756","Sassafras albidum"
"576756","Symplocos tinctoria"
"576756","Vaccinium arboreum"
"576756","Vaccinium corymbosum"
"576756","Vaccinium elliottii"
"576756","Vaccinium pallidum"
"576756","Acalypha gracilens"
"576756","Ambrosia artemisiifolia"
"576756","Aristida stricta"
"576756","Aronia arbutifolia"
"576756","Arundinaria gigantea"
"576756","Asplenium platyneuron"
"576756","Bignonia capreolata"
"576756","Campsis radicans"
"576756","Carya alba"
"576756","Chamaesyce maculata"
"576756","Conyza canadensis"
"576756","Diodia teres"
"576756","Elephantopus nudatus"
"576756","Elephantopus tomentosus"
"576756","Erechtites hieraciifolia"
"576756","Eremochloa ophiuroides"
"576756","Eupatorium capillifolium"
"576756","Hexastylis arifolia"
"576756","Lespedeza cuneata"
"576756","Lonicera japonica"
"576756","Malaxis unifolia"
"576756","Medicago lupulina"
"576756","Mitchella repens"
"576756","Onoclea sensibilis"
"576756","Osmunda regalis"
"576756","Oxalis stricta"
"576756","Parthenocissus quinquefolia"
"576756","Paspalum notatum"
"576756","Polypremum procumbens"
"576756","Pteridium aquilinum"
"576756","Rhexia mariana"
"576756","Richardia brasiliensis"
"576756","Rubus argutus"
"576756","Rubus cuneifolius"
"576756","Salvia lyrata"
"576756","Scleria triglomerata"
"576756","Sisyrinchium atlanticum"
"576756","Smilax bona-nox"
"576756","Smilax glauca"
"576756","Smilax laurifolia"
"576756","Stylisma humistrata"
"576756","Toxicodendron pubescens"
"576756","Toxicodendron radicans"
"576756","Vaccinium tenellum"
"576756","Vicia angustifolia"
"576756","Vitis rotundifolia"
"576756","Woodwardia areolata"
"576756","Woodwardia virginica"
"576756","Ilex myrtifolia"
"576756","Quercus alba"
"576756","Gaylussacia dumosa"
"576756","Vaccinium myrsinites"
"576756","Sagittaria graminea"
"576756","Sagittaria subulata"
"576756","Orontium aquaticum"
"576756","Tofieldia racemosa"
"576756","Centella asiatica"
"576756","Centella erecta"
"576756","Eryngium integrifolium"
"576756","Hydrocotyle umbellata"
"576756","Hydrocotyle verticillata"
"576756","Oxypolis rigidior"
"576756","Ptilimnium capillaceum"
"576756","Spermolepis divaricata"
"576756","Aralia spinosa"
"576756","Ilex amelanchier"
"576756","Ilex verticillata"
"576756","Sabal minor"
"576756","Allium vineale"
"576756","Hymenocallis floridana"
"576756","Narcissus tazetta X poeticus"
"576756","Narcissus tazetta"
"576756","Yucca filamentosa"
"576756","Hypoxis hirsuta"
"576756","Hypoxis wrightii"
"576756","Gladiolus X gandavensis"
"576756","Iris verna"
"576756","Iris virginica"
"576756","Sisyrinchium fuscatum"
"576756","Sisyrinchium rosulatum"
"576756","Calopogon pulchellus"
"576756","Cleistes divaricata"
"576756","Habenaria blephariglottis"
"576756","Platanthera ciliaris"
"576756","Spiranthes cernua"
"576756","Spiranthes gracilis"
"576756","Spiranthes praecox"
"576756","Tipularia discolor"
"576756","Hemerocallis fulva"
"576756","Achillea millefolium"
"576756","Anthemis arvensis"
"576756","Aster dumosus"
"576756","Aster lateriflorus"
"576756","Aster novi-belgii"
"576756","Aster pilosus"
"576756","Aster simplex"
"576756","Baccharis halimifolia"
"576756","Bidens aristosa"
"576756","Bidens bipinnata"
"576756","Bidens frondosa"
"576756","Bigelowia nudata"
"576756","Carduus spinosissimus"
"576756","Carphephorus bellidifolius"
"576756","Carphephorus paniculatus"
"576756","Carphephorus tomentosus"
"576756","Chaptalia tomentosa"
"576756","Chrysopsis gossypina"
"576756","Chrysopsis mariana"
"576756","Cirsium horridulum"
"576756","Cirsium repandum"
"576756","Cirsium virginianum"
"576756","Conoclinium coelestinum"
"576756","Coreopsis falcata"
"576756","Coreopsis gladiata"
"576756","Coreopsis lanceolata"
"576756","Coreopsis leavenworthii"
"576756","Coreopsis linifolia"
"576756","Croptilon divaricatum"
"576756","Eclipta prostrata"
"576756","Erechtites hieracifolia"
"576756","Erigeron canadensis"
"576756","Erigeron quercifolius"
"576756","Erigeron strigosus"
"576756","Erigeron vernus"
"576756","Eupatorium anomalum"
"576756","Eupatorium aromaticum"
"576756","Eupatorium compositifolium"
"576756","Eupatorium dubium"
"576756","Eupatorium hyssopifolium"
"576756","Eupatorium leucolepis"
"576756","Eupatorium mohrii"
"576756","Eupatorium pilosum"
"576756","Eupatorium rotundifolium"
"576756","Eupatorium semiserratum"
"576756","Eurybia paludosa"
"576756","Euthamia tenuifolia"
"576756","Gamochaeta purpurea"
"576756","Gnaphalium purpureum"
"576756","Helenium amarum"
"576756","Helenium flexuosum"
"576756","Helianthus angustifolius"
"576756","Helianthus atrorubens"
"576756","Heterotheca subaxillaris"
"576756","Hieracium gronovii"
"576756","Hypochaeris radicata"
"576756","Ionactis linariifolius"
"576756","Krigia caespitosa"
"576756","Krigia virginica"
"576756","Lactuca canadensis"
"576756","Lactuca graminifolia"
"576756","Liatris graminifolia"
"576756","Marshallia graminifolia"
"576756","Mikania scandens"
"576756","Packera anonyma"
"576756","Packera tomentosa"
"576756","Pityopsis graminifolia"
"576756","Pluchea camphorata"
"576756","Pluchea carolinensis"
"576756","Pluchea foetida"
"576756","Prenanthes autumnalis"
"576756","Pterocaulon virgatum"
"576756","Pyrrhopappus carolinianus"
"576756","Sericocarpus asteroides"
"576756","Sericocarpus tortifolius"
"576756","Silphium compositum"
"576756","Solidago altissima"
"576756","Solidago arguta"
"576756","Solidago fistulosa"
"576756","Solidago gracillima"
"576756","Solidago odora"
"576756","Solidago patula"
"576756","Solidago petiolaris"
"576756","Solidago rugosa"
"576756","Solidago stricta"
"576756","Sonchus asper"
"576756","Symphyotrichum dumosum"
