"IRMAReferenceNumber","SciName"
"575390","Anaxyrus boreas"
"575390","Rana catesbeiana"
"575390","Ambystoma gracile"
"575390","Ambystoma macrodactylum"
"575390","Pseudacris regilla"
"575390","Rana aurora"
"575390","Taricha granulosa"
"575390","Picea sitchensis"
"575390","Tsuga heterophylla"
"575390","Pseudotsuga menziesii"
"575390","Gaultheria shallon"
"575390","Polystichum munitum"
"575390","Acer circinatum"
"575390","Mahonia aquifolium"
"575390","Alosa sapidissima"
"575390","Cottus aleuticus"
"575390","Cottus asper"
"575390","Cottus gulosus"
"575390","Cottus perplexus"
"575390","Leptocottus armatus"
"575390","Lepomis gibbosus"
"575390","Micropterus salmoides"
"575390","Pomoxis nigromaculatus"
"575390","Mylocheilus caurinus"
"575390","Acrocheilus alutaceus"
"575390","Gasterosteus aculeatus"
"575390","Spirinchus thaleichthys"
"575390","Thaleichthys pacificus"
"575390","Lampetra richardsoni"
"575390","Oncorhynchus clarkii"
"575390","Oncorhynchus keta"
"575390","Oncorhynchus kisutch"
"575390","Oncorhynchus mykiss"
"575390","Oncorhynchus tshawytscha"
"575390","Dicamptodon copei"
"575390","Dicamptodon tenebrosus"
"575390","Ensatina Ensatina"
"575390","Ensatina eschscholtzii"
"575390","Plethodon dunni"
"575390","Plethodon vehiculum"
"575390","Rhyacotriton kezeri"
"575390","Acipenser transmontanus"
"575390","Phalaris arundinacea"
"575390","Rubus armeniacus"
"575390","Tsuga mertensiana"
"575390","Abies lasiocarpa"
"575390","Pinus albicaulis"
"575390","Soliperla fenderi"
"575390","Cottus confusus"
"575390","Cottus rhotheus"
"575390","Oncorhynchus nerka"
"575390","Prosopium williamsoni"
"575390","Salvelinus fontinalis"
"575390","Plethodon larselli"
"575390","Plethodon vandykei"
"575390","Ascaphus truei"
"575390","Rana cascadae"
"575390","Salvelinus confluentus"
"575390","Oncorhynchus gorbuscha"
"575390","Thuja plicata"
"575390","Abies amabilis"
"575390","Pinus contorta"
"575390","Pinus ponderosa"
"575390","Catostomus columbianus"
"575390","Catostomus macrocheilus"
"575390","Cottus cognatus"
"575390","Rhinichthys cataractae"
"575390","Lota lota"
"575390","Salvelinus namaycush"
"575390","Rana luteiventris"
"575390","Salvelinus malma"
"575390","Alnus rubra"
"575390","Acer macrophyllum"
"575390","Prosopium coulteri"
"575390","Rhyacotriton olympicus"
"575390","Novumbra hubbsi"
"575390","Ptychocheilus oregonensis"
"575390","Rhinichthys osculus"
"575390","Richardsonius balteatus"
"575390","Lampetra tridentata"
"575390","Ictalurus natalis"
"575390","Perca flavescens"
