"IRMAReferenceNumber","SciName"
"582880","Ipnobius robustus"
"582880","Tryonia robusta"
"582880","Assiminea infima"
"582880","Ambrysus funebris"
"582880","Microcylloepus formicoideus"
"582880","Hyalella sandra"
"582880","Hyalella muerta"
"582880","Washingtonia filifera"
"582880","Cyprinodon nevadensis"
"582880","Belostoma saratogae"
"582880","Pentacora saratogae"
"582880","Pyrgulopsis amargosae"
"582880","Tryonia variegata"
"582880","Hydroscapha natans"
"582880","Chironominae Polypedilum"
"582880","Libellula comanche"
"582880","Erpetogomphus compositus"
"582880","Pyrgulopsis micrococcus"
