"IRMAReferenceNumber","SciName"
"566787","Alliaria petiolata"
"566787","Polygonum cuspidatum"
"566787","Pueraria montana"
"566787","Iris pseudacorus"
"566787","Ailanthus altissima"
"566787","Lepidium latifolium"
"566787","Arundo donax"
"566787","Rhamnus cathartica"
"566787","Heracleum mantegazzianum"
"566787","Centaurea solstitialis"
"566787","Hieracium aurantiacum"
"566787","Isatis tinctoria"
"566787","Taeniatherum caput-medusae"
"566787","Chondrilla juncea"
"566787","Gypsophila paniculata"
"566787","Centaurea virgata"
"566787","Linaria dalmatica"
"566787","Euphorbia myrsinites"
"566787","Dipsacus fullonum"
"566787","Salvia aethiopis"
"566787","Ventenata dubia"
"566787","Phlox andicola"
"566787","Psoralidium tenuiflorum"
"566787","Phlox hoodii"
"566787","Psoralidium lanceolatum"
"566787","Acer negundo"
"566787","Rhus trilobata"
"566787","Toxicodendron rydbergii"
"566787","Apocynum androsaemifolium"
"566787","Asclepias pumila"
"566787","Asclepias viridiflora"
"566787","Achillea millefolium"
"566787","Ambrosia psilostachya"
"566787","Antennaria parvifolia"
"566787","Artemisia frigida"
"566787","Artemisia ludoviciana"
"566787","Artemisia tridentata"
"566787","Balsamorhiza sagittata"
"566787","Carduus nutans"
"566787","Cirsium arvense"
"566787","Cirsium undulatum"
"566787","Conyza canadensis"
"566787","Echinacea angustifolia"
"566787","Erigeron strigosus"
"566787","Erigeron subtrinervis"
"566787","Grindelia squarrosa"
"566787","Gutierrezia sarothrae"
"566787","Helianthus pauciflorus"
"566787","Liatris punctata"
"566787","Lygodesmia juncea"
"566787","Mulgedium oblongifolium"
"566787","Ratibida columnifera"
"566787","Solidago missouriensis"
"566787","Solidago nemoralis"
"566787","Symphyotrichum falcatum"
"566787","Symphyotrichum oblongifolium"
"566787","Taraxacum officinale"
"566787","Tetraneuris acaulis"
"566787","Tragopogon dubius"
"566787","Berberis repens"
"566787","Cynoglossum officinale"
"566787","Lithospermum incisum"
"566787","Alyssum desertorum"
"566787","Arabis pycnocarpa"
"566787","Capsella bursa-pastoris"
"566787","Thlaspi arvense"
"566787","Opuntia polyacantha"
"566787","Campanula rotundifolia"
"566787","Symphoricarpos occidentalis"
"566787","Cerastium arvense"
"566787","Juniperus scopulorum"
"566787","Carex duriuscula"
"566787","Carex emoryi"
"566787","Carex filifolia"
"566787","Carex inops"
"566787","Carex sprengelii"
"566787","Equisetum laevigatum"
"566787","Euphorbia esula"
"566787","Euphorbia spathulata"
"566787","Acmispon americanus"
"566787","Astragalus agrestis"
"566787","Astragalus flexuosus"
"566787","Astragalus laxmannii"
"566787","Dalea candida"
"566787","Dalea purpurea"
"566787","Glycyrrhiza lepidota"
"566787","Melilotus officinalis"
"566787","Oxytropis sericea"
"566787","Pediomelum argophyllum"
"566787","Thermopsis rhombifolia"
"566787","Vicia americana"
"566787","Quercus macrocarpa"
"566787","Sisyrinchium montanum"
"566787","Oenothera suffrutescens"
"566787","Pinus ponderosa"
"566787","Andropogon gerardii"
"566787","Aristida purpurea"
"566787","Bouteloua curtipendula"
"566787","Bouteloua gracilis"
"566787","Bromus anomalus"
"566787","Bromus inermis"
"566787","Bromus japonicus"
"566787","Bromus tectorum"
"566787","Calamovilfa longifolia"
"566787","Danthonia spicata"
"566787","Dichanthelium oligosanthes"
"566787","Dichanthelium wilcoxianum"
"566787","Elymus canadensis"
"566787","Elymus repens"
"566787","Elymus trachycaulus"
"566787","Festuca idahoensis"
"566787","Hesperostipa comata"
"566787","Hesperostipa spartea"
"566787","Koeleria macrantha"
"566787","Muhlenbergia cuspidata"
"566787","Nassella viridula"
"566787","Pascopyrum smithii"
"566787","Poa bulbosa"
"566787","Poa pratensis"
"566787","Poa secunda"
"566787","Pseudoroegneria spicata"
"566787","Schizachne purpurascens"
"566787","Schizachyrium scoparium"
"566787","Sporobolus cryptandrus"
"566787","Phlox alyssifolia"
"566787","Anemone cylindrica"
"566787","Prunus virginiana"
"566787","Rosa arkansana"
"566787","Galium boreale"
"566787","Populus deltoides"
"566787","Populus tremuloides"
"566787","Salix amygdaloides"
"566787","Penstemon grandiflorus"
"566787","Selaginella densa"
"566787","Carex aquatilis"
