"IRMAReferenceNumber","SciName"
"587372","Carex pendula"
"587372","Aegilops triuncialis"
"587372","Allium vineale"
"587372","Clematis vitalba"
"587372","Nassella tenuissima"
"587372","Acacia paradoxa"
"587372","Datura stramonium"
"587372","Fallopia japonica"
"587372","Solanum aviculare"
"587372","Sorghum halepense"
"587372","Stipa miliacea"
"587372","Myriophyllum spicatum"
"587372","Spartium junceum"
"587372","Stipa chaetophora"
"587372","Stipa manicata"
"587372","Ammophila arenaria"
"587372","Buddleja davidii"
"587372","Calendula arvensis"
"587372","Geranium purpureum"
"587372","Geranium robertianum"
"587372","Ligustrum lucidum"
"587372","Ligustrum vulgare"
"587372","Rubus armeniacus"
"587372","Rubus discolor"
"587372","Xanthium spinosum"
"587372","Albizia lophantha"
"587372","Arctotheca prostrata"
"587372","Carpobrotus chilensis"
"587372","Centaurea calcitrapa"
"587372","Crataegus monogyna"
"587372","Cytisus scoparius"
"587372","Cytisus striatus"
"587372","Dittrichia graveolens"
"587372","Euphorbia oblongata"
"587372","Helichrysum petiolare"
"587372","Ilex aquifolium"
"587372","Maytenus boaria"
"587372","Myriophyllum aquaticum"
"587372","Pittosporum crassifolium"
"587372","Pyracantha angustifolia"
"587372","Robinia pseudoacacia"
"587372","Rytidosperma caespitosum"
"587372","Rytidosperma penicillatum"
"587372","Scabiosa atropurpurea"
"587372","Stipa purpurata"
"587372","Trifolium angustifolium"
"587372","Vinca major"
"587372","Acacia melanoxylon"
"587372","Ageratina adenophora"
"587372","Agrostis avenacea"
"587372","Bromus madritensis"
"587372","Centaurea melitensis"
"587372","Cestrum parqui"
"587372","Cynodon dactylon"
"587372","Dactylis glomerata"
"587372","Delairea odorata"
"587372","Dipsacus fullonum"
"587372","Eucalyptus globulus"
"587372","Festuca arundinacea"
"587372","Fuchsia magellanica"
"587372","Hedera helix"
"587372","Iris pseudacorus"
"587372","Leptospermum laevigatum"
"587372","Leucanthemum vulgare"
"587372","Oxalis pes-caprae"
"587372","Pennisetum clandestinum"
"587372","Phoenix canariensis"
"587372","Rosa rubiginosa"
"587372","Salsola soda"
"587372","Sparaxis tricolor"
"587372","Tradescantia fluminensis"
"587372","Panicum miliaceum"
"587372","Verbena bonariensis"
"587372","Anthoxanthum odoratum"
"587372","Brachypodium distachyon"
"587372","Carthamus lanatus"
"587372","Centaurea solstitialis"
"587372","Cotoneaster franchetii"
"587372","Cotoneaster pannosus"
"587372","Arctotheca calendula"
"587372","Genista monspessulana"
"587372","Glyceria declinata"
"587372","Lathyrus latifolius"
"587372","Paspalum dilatatum"
"587372","Tetragonia tetragonioides"
"587372","Bromus tectorum"
"587372","Festuca perennis"
"587372","Festuca temulenta"
"587372","Malva parviflora"
"587372","Poa bulbosa"
"587372","Tragopogon dubius"
"587372","Carduus pycnocephalus"
"587372","Carduus tenuiflorus"
"587372","Marrubium vulgare"
"587372","Schismus arabicus"
"587372","Amaranthus albus"
"587372","Brassica nigra"
"587372","Cirsium vulgare"
"587372","Hirschfeldia incana"
"587372","Lactuca serriola"
"587372","Plantago lanceolata"
"587372","Rumex crispus"
"587372","Silybum marianum"
"587372","Cynara cardunculus"
"587372","Lepidium latifolium"
"587372","Conium maculatum"
"587372","Foeniculum vulgare"
"587372","Olea europaea"
"587372","Phalaris aquatica"
"587372","Tribulus terrestris"
"587372","Ailanthus altissima"
"587372","Ammophila breviligulata"
"587372","Aptenia cordifolia"
"587372","Arundo donax"
"587372","Berberis darwinii"
"587372","Carduus acanthoides"
"587372","Cirsium arvense"
"587372","Conicosia pugioniformis"
"587372","Cortaderia selloana"
"587372","Digitalis purpurea"
"587372","Drosanthemum floribundum"
"587372","Echium plantagineum"
"587372","Ehrharta calycina"
"587372","Eichhornia crassipes"
"587372","Hedera canariensis"
"587372","Hypericum grandifolium"
"587372","Hypericum perforatum"
"587372","Limonium ramosissimum"
"587372","Ludwigia hexapetala"
"587372","Ludwigia peploides"
"587372","Nicotiana glauca"
"587372","Phalaris arundinacea"
"587372","Rhamnus alaternus"
"587372","Romulea rosea"
"587372","Spartina alterniflora"
"587372","Ulex europaeus"
"587372","Lamiastrum galeobdolon"
"587372","Mentha pulegium"
"587372","Mercurialis annua"
"587372","Roldana Petasitis"
"587372","Acroptilon repens"
"587372","Alisma lanceolatum"
"587372","Centaurea iberica"
"587372","Egeria densa"
"587372","Senecio jacobaea"
"587372","Cakile edentula"
"587372","Echium candicans"
"587372","Linaria vulgaris"
"587372","Pittosporum undulatum"
"587372","Dysphania ambrosioides"
"587372","Elymus caput-medusae"
"587372","Helminthotheca echioides"
"587372","Melilotus alba"
"587372","Salsola tragus"
"587372","Tamarix ramosissima"
"587372","Trifolium hirtum"
"587372","Verbascum blattaria"
"587372","Verbascum thapsus"
"587372","Cotula coronopifolia"
"587372","Crypsis schoenoides"
"587372","Cyperus difformis"
"587372","Veronica persica"
"587372","Brassica rapa"
"587372","Mentha spicata"
"587372","Polygonum aviculare"
"587372","Raphanus sativus"
"587372","Rumex acetosella"
"587372","Cardaria draba"
"587372","Carthamus baeticus"
"587372","Ehrharta erecta"
"587372","Ficus carica"
"587372","Lythrum salicaria"
"587372","Schinus molle"
"587372","Sesbania punicea"
"587372","Tamarix parviflora"
"587372","Bellardia trixago"
"587372","Cotoneaster lacteus"
"587372","Piptatherum miliaceum"
"587372","Crassula multicava"
"587372","Dittrichia Graveolens"
"587372","Echinochloa muricata"
"587372","Elymus ponticus"
"587372","Erigeron sumatrensis"
"587372","Heliotropium amplexicaule"
"587372","Kickxia elatine"
"587372","Nymphaea odorata"
"587372","Soleirolia soleirolii"
"587372","Trifolium striatum"
"587372","Trifolium tomentosum"
"587372","Antirrhinum orontium"
"587372","Carex nudata"
"587372","Coreopsis tinctoria"
"587372","Cotoneaster integrifolius"
"587372","Freesia laxa"
"587372","Geranium rotundifolium"
"587372","Iris foetidissima"
"587372","Melianthus major"
"587372","Oxalis hirta"
"587372","Parietaria judaica"
"587372","Prunus caroliniana"
"587372","Elodea canadensis"
"587372","Montanoa hibiscifolia"
"587372","Passiflora tarminiana"
"587372","Sporobolus airoides"
"587372","Hyacinthoides hispanica"
"587372","Juncus acuminatus"
"587372","Prunella vulgaris"
"587372","Symphytum officinale"
"587372","Tragopogon porrifolius"
"587372","Lychnis coronaria"
"587372","Alopecurus pratensis"
"587372","Bromus catharticus"
"587372","Crepis vesicaria"
"587372","Lathyrus jepsonii"
"587372","Phalaris paradoxa"
"587372","Sisymbrium altissimum"
"587372","Atriplex suberecta"
"587372","Carex densa"
"587372","Carex globosa"
"587372","Carex schottii"
"587372","Oxalis corniculata"
"587372","Rumex conglomeratus"
"587372","Verbena bracteata"
"587372","Sisymbrium irio"
"587372","Pinus pinea"
"587372","Pinus radiata"
